                    component depth     class                                 name     pass    total
   QCD_HT100to200_madgraphMLM     1 LambdaStr          "ev : ev.cutflowId[0] == 1" 19270218 19286149
   QCD_HT100to200_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0" 18596526 19270218
   QCD_HT100to200_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2" 18596526 18596526
   QCD_HT100to200_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 200"   143135 18596526
   QCD_HT100to200_madgraphMLM     1 LambdaStr            "ev : ev.nJet100[0] >= 1"    74021   143135
   QCD_HT100to200_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"    74021    74021
   QCD_HT100to200_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"    67934    74021
   QCD_HT100to200_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"    61429    67934
   QCD_HT100to200_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"    59451    61429
   QCD_HT100to200_madgraphMLM     1 LambdaStr         "ev : 130 <= ev.mht40_pt[0]"      229    59451
   QCD_HT100to200_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"       11      229
   QCD_HT200to300_madgraphMLM     1 LambdaStr          "ev : ev.cutflowId[0] == 1" 15214055 15246227
   QCD_HT200to300_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0" 14603437 15214055
   QCD_HT200to300_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2" 14603437 14603437
   QCD_HT200to300_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 200"  4558049 14603437
   QCD_HT200to300_madgraphMLM     1 LambdaStr            "ev : ev.nJet100[0] >= 1"  3257402  4558049
   QCD_HT200to300_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  3257402  3257402
   QCD_HT200to300_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  3159946  3257402
   QCD_HT200to300_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  2873897  3159946
   QCD_HT200to300_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  2803273  2873897
