                    component htbin njetbin mhtbin   xi     n  nvar
   QCD_HT100to200_madgraphMLM   200       2    130    0     1     1
   QCD_HT100to200_madgraphMLM   200       2    130 0.05     0     0
   QCD_HT100to200_madgraphMLM   200       2    130  0.1     1     1
   QCD_HT100to200_madgraphMLM   200       2    130 0.15     1     1
   QCD_HT100to200_madgraphMLM   200       2    130  0.2     0     0
   QCD_HT100to200_madgraphMLM   200       2    130 0.45     1     1
   QCD_HT100to200_madgraphMLM   200       2    130  0.5     0     0
   QCD_HT100to200_madgraphMLM   200       2    130 0.65     1     1
   QCD_HT100to200_madgraphMLM   200       2    130  0.7     1     1
   QCD_HT100to200_madgraphMLM   200       2    130 0.75     1     1
   QCD_HT100to200_madgraphMLM   200       2    130  0.8     0     0
   QCD_HT100to200_madgraphMLM   200       2    200    0     0     0
   QCD_HT100to200_madgraphMLM   200       2    200  0.1     1     1
   QCD_HT100to200_madgraphMLM   200       2    200 0.15     0     0
   QCD_HT100to200_madgraphMLM   200       2    200  0.2     1     1
   QCD_HT100to200_madgraphMLM   200       2    200 0.25     0     0
   QCD_HT100to200_madgraphMLM   200       2    200 0.45     0     0
   QCD_HT100to200_madgraphMLM   200       2    200  0.5     1     1
   QCD_HT100to200_madgraphMLM   200       2    200 0.55     0     0
   QCD_HT100to200_madgraphMLM   200       2    200 0.65     0     0
   QCD_HT100to200_madgraphMLM   200       2    200  0.7     0     0
   QCD_HT100to200_madgraphMLM   200       2    200 0.75     0     0
   QCD_HT100to200_madgraphMLM   200       2    400  0.1     0     0
   QCD_HT100to200_madgraphMLM   200       2    400  0.2     0     0
   QCD_HT100to200_madgraphMLM   200       2    400  0.5     0     0
   QCD_HT100to200_madgraphMLM   200       3    130    0     0     0
   QCD_HT100to200_madgraphMLM   200       3    130  0.1     0     0
   QCD_HT100to200_madgraphMLM   200       3    130 0.15     0     0
   QCD_HT100to200_madgraphMLM   200       3    130 0.45     0     0
   QCD_HT100to200_madgraphMLM   200       3    130  0.5     1     1
   QCD_HT100to200_madgraphMLM   200       3    130 0.55     0     0
   QCD_HT100to200_madgraphMLM   200       3    130 0.65     0     0
   QCD_HT100to200_madgraphMLM   200       3    130  0.7     0     0
   QCD_HT100to200_madgraphMLM   200       3    130 0.75     0     0
   QCD_HT100to200_madgraphMLM   200       3    200  0.1     0     0
   QCD_HT100to200_madgraphMLM   200       3    200  0.2     0     0
   QCD_HT100to200_madgraphMLM   200       3    200  0.5     0     0
   QCD_HT100to200_madgraphMLM   200       6    130  0.5     0     0
   QCD_HT100to200_madgraphMLM   400       2    130    0     0     0
   QCD_HT100to200_madgraphMLM   400       2    130  0.1     0     0
   QCD_HT100to200_madgraphMLM   400       2    130 0.15     0     0
   QCD_HT100to200_madgraphMLM   400       2    130 0.45     0     0
   QCD_HT100to200_madgraphMLM   400       2    130 0.65     0     0
   QCD_HT100to200_madgraphMLM   400       2    130  0.7     0     0
   QCD_HT100to200_madgraphMLM   400       2    130 0.75     0     0
   QCD_HT100to200_madgraphMLM   400       2    200  0.1     0     0
   QCD_HT100to200_madgraphMLM   400       2    200  0.2     0     0
   QCD_HT100to200_madgraphMLM   400       2    200  0.5     0     0
   QCD_HT100to200_madgraphMLM   400       3    130  0.5     0     0
   QCD_HT200to300_madgraphMLM   200       2    130 0.05     1     1
   QCD_HT200to300_madgraphMLM   200       2    130  0.1     0     0
   QCD_HT200to300_madgraphMLM   200       2    130 0.15     2     2
   QCD_HT200to300_madgraphMLM   200       2    130  0.2     1     1
   QCD_HT200to300_madgraphMLM   200       2    130 0.25     2     2
   QCD_HT200to300_madgraphMLM   200       2    130  0.3     1     1
   QCD_HT200to300_madgraphMLM   200       2    130 0.35     1     1
   QCD_HT200to300_madgraphMLM   200       2    130  0.4     0     0
   QCD_HT200to300_madgraphMLM   200       2    130  0.5     1     1
   QCD_HT200to300_madgraphMLM   200       2    130 0.55     0     0
   QCD_HT200to300_madgraphMLM   200       2    200 0.05     0     0
   QCD_HT200to300_madgraphMLM   200       2    200 0.15     0     0
   QCD_HT200to300_madgraphMLM   200       2    200  0.2     0     0
   QCD_HT200to300_madgraphMLM   200       2    200 0.25     0     0
   QCD_HT200to300_madgraphMLM   200       2    200  0.3     0     0
   QCD_HT200to300_madgraphMLM   200       2    200 0.35     0     0
   QCD_HT200to300_madgraphMLM   200       2    200  0.5     0     0
   QCD_HT200to300_madgraphMLM   200       3    130    0     1     1
   QCD_HT200to300_madgraphMLM   200       3    130 0.05     1     1
   QCD_HT200to300_madgraphMLM   200       3    130  0.1     0     0
   QCD_HT200to300_madgraphMLM   200       3    130 0.15     0     0
   QCD_HT200to300_madgraphMLM   200       3    130  0.2     0     0
   QCD_HT200to300_madgraphMLM   200       3    130 0.25     1     1
   QCD_HT200to300_madgraphMLM   200       3    130  0.3     0     0
   QCD_HT200to300_madgraphMLM   200       3    130 0.35     3     3
   QCD_HT200to300_madgraphMLM   200       3    130  0.4     1     1
   QCD_HT200to300_madgraphMLM   200       3    130 0.45     0     0
   QCD_HT200to300_madgraphMLM   200       3    130  0.5     1     1
   QCD_HT200to300_madgraphMLM   200       3    130 0.55     0     0
   QCD_HT200to300_madgraphMLM   200       3    130  0.7     1     1
   QCD_HT200to300_madgraphMLM   200       3    130 0.75     0     0
   QCD_HT200to300_madgraphMLM   200       3    130 0.85     1     1
   QCD_HT200to300_madgraphMLM   200       3    130  0.9     0     0
   QCD_HT200to300_madgraphMLM   200       3    200    0     0     0
   QCD_HT200to300_madgraphMLM   200       3    200 0.05     0     0
   QCD_HT200to300_madgraphMLM   200       3    200 0.25     0     0
   QCD_HT200to300_madgraphMLM   200       3    200 0.35     0     0
   QCD_HT200to300_madgraphMLM   200       3    200  0.4     0     0
   QCD_HT200to300_madgraphMLM   200       3    200  0.5     0     0
   QCD_HT200to300_madgraphMLM   200       3    200  0.7     0     0
   QCD_HT200to300_madgraphMLM   200       3    200 0.85     0     0
   QCD_HT200to300_madgraphMLM   200       6    130    0     0     0
   QCD_HT200to300_madgraphMLM   200       6    130 0.05     0     0
   QCD_HT200to300_madgraphMLM   200       6    130 0.25     0     0
   QCD_HT200to300_madgraphMLM   200       6    130 0.35     0     0
   QCD_HT200to300_madgraphMLM   200       6    130  0.4     0     0
   QCD_HT200to300_madgraphMLM   200       6    130  0.5     0     0
   QCD_HT200to300_madgraphMLM   200       6    130  0.7     0     0
   QCD_HT200to300_madgraphMLM   200       6    130 0.85     0     0
   QCD_HT200to300_madgraphMLM   400       2    130 0.05     0     0
   QCD_HT200to300_madgraphMLM   400       2    130 0.15     0     0
   QCD_HT200to300_madgraphMLM   400       2    130  0.2     0     0
   QCD_HT200to300_madgraphMLM   400       2    130 0.25     0     0
   QCD_HT200to300_madgraphMLM   400       2    130  0.3     0     0
   QCD_HT200to300_madgraphMLM   400       2    130 0.35     0     0
   QCD_HT200to300_madgraphMLM   400       2    130  0.5     0     0
   QCD_HT200to300_madgraphMLM   400       2    200    0     2     2
   QCD_HT200to300_madgraphMLM   400       2    200 0.05     0     0
   QCD_HT200to300_madgraphMLM   400       2    200 0.45     1     1
   QCD_HT200to300_madgraphMLM   400       2    200  0.5     0     0
   QCD_HT200to300_madgraphMLM   400       2    400    0     0     0
   QCD_HT200to300_madgraphMLM   400       2    400 0.45     0     0
   QCD_HT200to300_madgraphMLM   400       3    130    0     0     0
   QCD_HT200to300_madgraphMLM   400       3    130 0.05     0     0
   QCD_HT200to300_madgraphMLM   400       3    130 0.25     0     0
   QCD_HT200to300_madgraphMLM   400       3    130 0.35     0     0
   QCD_HT200to300_madgraphMLM   400       3    130  0.4     0     0
   QCD_HT200to300_madgraphMLM   400       3    130  0.5     0     0
   QCD_HT200to300_madgraphMLM   400       3    130  0.7     0     0
   QCD_HT200to300_madgraphMLM   400       3    130 0.85     0     0
   QCD_HT200to300_madgraphMLM   400       3    200    0     0     0
   QCD_HT200to300_madgraphMLM   400       3    200 0.15     1     1
   QCD_HT200to300_madgraphMLM   400       3    200  0.2     0     0
   QCD_HT200to300_madgraphMLM   400       3    200 0.45     0     0
   QCD_HT200to300_madgraphMLM   400       3    400 0.15     0     0
   QCD_HT200to300_madgraphMLM   400       6    200 0.15     0     0
   QCD_HT200to300_madgraphMLM   800       2    200    0     0     0
   QCD_HT200to300_madgraphMLM   800       2    200 0.45     0     0
   QCD_HT200to300_madgraphMLM   800       3    200 0.15     0     0
   QCD_HT300to500_madgraphMLM   200       2    130    0   129   129
   QCD_HT300to500_madgraphMLM   200       2    130 0.05    84    84
   QCD_HT300to500_madgraphMLM   200       2    130  0.1    55    55
   QCD_HT300to500_madgraphMLM   200       2    130 0.15    37    37
   QCD_HT300to500_madgraphMLM   200       2    130  0.2    22    22
   QCD_HT300to500_madgraphMLM   200       2    130 0.25    17    17
   QCD_HT300to500_madgraphMLM   200       2    130  0.3    11    11
   QCD_HT300to500_madgraphMLM   200       2    130 0.35     6     6
   QCD_HT300to500_madgraphMLM   200       2    130  0.4     3     3
   QCD_HT300to500_madgraphMLM   200       2    130 0.45     6     6
   QCD_HT300to500_madgraphMLM   200       2    130  0.5     2     2
   QCD_HT300to500_madgraphMLM   200       2    130 0.55     1     1
   QCD_HT300to500_madgraphMLM   200       2    130  0.6     6     6
   QCD_HT300to500_madgraphMLM   200       2    130 0.65     2     2
   QCD_HT300to500_madgraphMLM   200       2    130  0.7     2     2
   QCD_HT300to500_madgraphMLM   200       2    130 0.75     5     5
   QCD_HT300to500_madgraphMLM   200       2    130  0.8     0     0
   QCD_HT300to500_madgraphMLM   200       2    200    0     1     1
