              component depth     class                                                     name     pass    total
 SMS_T1tttt_madgraphMLM     1 AllwCount                                                      All     9181 30799443
 SMS_T1tttt_madgraphMLM     2 LambdaStr "ev : ev.componentName[0] == \"SMS_T1tttt_madgraphMLM\"" 30799443 30799443
 SMS_T1tttt_madgraphMLM     2 AnywCount                                                      Any     9181 30799443
 SMS_T1tttt_madgraphMLM     3 AllwCount                                                      All     3950 30799443
 SMS_T1tttt_madgraphMLM     4 LambdaStr                            "ev : ev.smsmass1[0] == 1300"   768345 30799443
 SMS_T1tttt_madgraphMLM     4 LambdaStr                            "ev : ev.smsmass2[0] == 1050"    39074   768345
 SMS_T1tttt_madgraphMLM     4 AllwCount                                                      All     3950    39074
 SMS_T1tttt_madgraphMLM     5 LambdaStr                              "ev : ev.cutflowId[0] == 1"    17325    39074
 SMS_T1tttt_madgraphMLM     5 LambdaStr                         "ev : ev.nIsoTracksVeto[0] <= 0"    13578    17325
 SMS_T1tttt_madgraphMLM     5 LambdaStr                                 "ev : ev.nJet40[0] >= 2"    13578    13578
 SMS_T1tttt_madgraphMLM     5 LambdaStr                                 "ev : ev.ht40[0] >= 200"    12089    13578
 SMS_T1tttt_madgraphMLM     5 LambdaStr                                "ev : ev.nJet100[0] >= 1"     8902    12089
 SMS_T1tttt_madgraphMLM     5 LambdaStr                         "ev : ev.nJet40failedId[0] == 0"     8902     8902
 SMS_T1tttt_madgraphMLM     5 LambdaStr                              "ev : ev.nJet40Fwd[0] == 0"     8047     8902
 SMS_T1tttt_madgraphMLM     5 LambdaStr                        "ev : -2.5 < ev.jet_eta[0] < 2.5"     7875     8047
 SMS_T1tttt_madgraphMLM     5 LambdaStr                     "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"     7688     7875
 SMS_T1tttt_madgraphMLM     5 LambdaStr                             "ev : 130 <= ev.mht40_pt[0]"     4708     7688
 SMS_T1tttt_madgraphMLM     5 LambdaStr                           "ev : ev.MhtOverMet[0] < 1.25"     3950     4708
 SMS_T1tttt_madgraphMLM     3 AllwCount                                                      All     5231 30795493
