              component smsmass1 smsmass2 htbin njetbin mhtbin minOmegaTilde  n nvar
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130          0.15  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130           0.2  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130          0.25  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130           0.3  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130          0.35  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130           0.4  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130          0.45  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130           0.5  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130          0.55  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130           0.6  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130          0.65  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130           0.7  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130          0.75  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200           0.1  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200          0.15  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200           0.2  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200          0.25  3    3
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200           0.3  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200          0.35  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200           0.4  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200          0.45  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200           0.5  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200          0.55  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200           0.6  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200          0.65  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200           0.7  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400           0.1  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400          0.15  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400           0.2  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400          0.25  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400           0.3  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400           0.4  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400          0.45  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400           0.5  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400           0.6  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400          0.65  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130             0  8    8
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130          0.05 14   14
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130           0.1 19   19
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130          0.15 14   14
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130           0.2 22   22
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130          0.25 15   15
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130           0.3 31   31
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130          0.35 30   30
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130           0.4 25   25
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130          0.45 21   21
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130           0.5 29   29
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130          0.55 22   22
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130           0.6 10   10
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130          0.65 18   18
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130           0.7 26   26
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130          0.75 14   14
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130           0.8 11   11
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130          0.85 11   11
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130           0.9  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130          0.95  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130           1.0  0    0
