              component smsmass1 smsmass2 htbin njetbin mhtbin   xi   n nvar
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130 0.45   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130  0.5   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130 0.55   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130  0.6   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130 0.65   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130  0.7   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130 0.75   8    8
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    130  0.8   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200 0.45   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200  0.5   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200 0.55   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200  0.6   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200 0.65   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200  0.7   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200 0.75  16   16
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    200  0.8   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400  0.7   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       2    400 0.75   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130    0  16   16
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 0.05  15   15
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  0.1  19   19
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 0.15  18   18
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  0.2  15   15
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 0.25  14   14
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  0.3  15   15
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 0.35  13   13
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  0.4  15   15
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 0.45  17   17
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  0.5  21   21
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 0.55  20   20
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  0.6  27   27
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 0.65  19   19
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  0.7  21   21
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 0.75  20   20
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  0.8  16   16
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 0.85  15   15
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  0.9  11   11
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 0.95   8    8
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  1.0   7    7
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 1.05   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130  1.1   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    130 1.15   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    200    0   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    200 0.05   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    200  0.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    200 0.15   6    6
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    200  0.2   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    200 0.25   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    200  0.3   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    200 0.35   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    200  0.4   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    200 0.45   4    4
